FLAG,,flag{[_[_t3LeP@thy-1ntEn5if13s_]_]},true,
ant,rnf9,4aa322be200aa5d1e2be915268d572e6,true,
bull,88rw,7676e66322af43795d3e30b623499e48,true,
cat,7bqa,cf52ee958dea0b0baafb539c4eaebb37,true,
dog,7n3g,45713d9403a6f9420b279453a4c2accd,true,
elephant,vunp,0e612198634316944013585621061115,true,
fox,jfx7,26025af32166cbb306a8c0dba4b4df00,true,
giraffe,oca1,8dd8558e45fd9dd1d5e66ccb36fb82d1,true,
hippo,te6z,272d1cc23b97f10eadd8074c1bb06eb0,true,
iguana,o2ak,48717c98395cc4b20a12ab543f874848,true,
jackelope,p5pw,f2a3fb8dd47df7b4aac9371fac5ca776,true,
koala,mlcb,68654ed2ff091ea8881fac855aa8de48,true,
lizard,eex0,5b2084f4266c31c15da9449da5e90d86,true,
monkey,y5nw,cbcca387e328939d8b50f8775ab39eb2,true,
numbat,032m,892f8b9ffc370594847979ad7234ddf7,true,
opossum,y8a2,42bf0fd88919f09f80b4fb6851b149d6,true,
possum,wwob,243318f3472c1947ced1e0912b53feac,true,
quail,p2m5,928995945cf0431c66fc6261444f50b2,true,
rattlesnake,3ekg,290c0e31881db7c7752824734ae4d801,true,
slug,qqtz,2bfa5d6ce5c5ddae3aa0de9c801b00f0,true,
tiger,pbfh,7419e828a2dfd1365a30bbd2fcb72ad7,true,
unicorn,wupu,1bfbc623dded215d13059694b519cb16,true,
viper,fdg7,6fb877ebdb34d454dd7fdc24a9c91d7d,true,
whale,mrkv,1f49dd35f92028b7ab22f8b4508e6133,true,
xerus,hfrc,9763331cbb5d28781dce64e1b8c8a4c1,true,
zebra,uk0q,77aeef2799d85ecd68c3f38d372335f0,true,
nic,sj6c,399099f962fd00faa3f68e90cd6de4d7,false,
elephant,vunp,0e612198634316944013585621061115,true,uploads/pwn.php
